Date,Location,Wind Speed (m/s)
2024-08-23,"Salt Lake City,UT",46.4
2024-08-10,Washington,16.4
2024-07-20,New York,23.4
2024-06-28,Washington,24.9
2024-06-22,Washington,21.7
2024-06-16,Montreal,7.6
2024-06-15,Toronto,27.2
2024-06-08,Washington,25.6
2024-06-02,Boston,25.2
2024-05-31,Washington,23.4
2024-05-18,Philadelphia,7.6
2024-05-10,Washington,22.5
2024-05-05,Philadelphia,19.2
2024-04-27,Salt Lake City,26.0
2023-08-12,New York,19.8
2023-07-29,Washington,47.0
2023-07-21,Washington,41.4
2023-07-15,Philadelphia,21.6
2023-07-08,Washington,31.2
2023-06-30,New York,19.8
2023-06-24,Boston,31.2
2023-06-23,Montreal,7.6
2023-06-16,Washington,37.3
2023-06-02,Raleigh,19.8
2023-05-20,Washington,26.5
2023-05-13,Washington,23.0
2023-05-07,Washington,15.8
2023-04-29,Raleigh,13.1
2022-08-20,New York,19.0
2022-08-13,Washington,19.4
2022-07-29,Washington,18.4
2022-07-23,Boston,20.4
2022-07-16,Ottawa,15.5
2022-07-15,Montreal,17.5
2022-07-08,Washington,16.1
2022-07-02,Philadelphia,24.6
2022-06-18,Washington,43.8
2022-06-10,New York,21.5
2022-06-03,Washington,25.5
2022-05-28,Washington,28.1
2022-05-14,Washington,14.1
2022-04-30,Washington,16.0
